Country,Year,Mission Name,Mission Type,Launch Site,Satellite Type,Budget (in Billion $),Success Rate (%),Technology Used,Environmental Impact,Collaborating Countries,Duration (in Days),Crew Size,Mission Risk Level,Success Probability
China,2004.0,Organic fresh-thinking policy,Manned,New Ariel,Communication,38.16,83.0,Traditional Rocket,Medium,"USA, UAE",23.0,90.0,High,0.975
UK,2022.0,Reduced 24hour hardware,Manned,South Kennethhaven,Spy,48.07,54.0,Solar Propulsion,High,China,78.0,36.0,Low,0.237
India,2024.0,Optional dedicated implementation,Unmanned,West Jeffrey,Communication,17.47,69.0,AI Navigation,High,"China, France, India",118.0,33.0,Low,0.628
USA,2011.0,Reverse-engineered non-volatile installation,Manned,Sierramouth,Navigation,11.47,65.0,Traditional Rocket,Low,"France, Israel",166.0,47.0,Low,0.797
India,2025.0,Multi-tiered encompassing flexibility,Unmanned,Garciaburgh,Communication,19.58,70.0,Nuclear Propulsion,Medium,Japan,32.0,13.0,Low,0.939
UK,2008.0,Sharable discrete Local Area Network,Unmanned,Moralesburgh,Navigation,34.47,51.0,AI Navigation,Low,"Germany, France, UAE",50.0,40.0,Low,0.604
Israel,2019.0,Centralized transitional focus group,Unmanned,Lisashire,Communication,7.45,82.0,Traditional Rocket,Medium,"Germany, USA, Japan",352.0,89.0,High,0.259
France,2017.0,Reactive value-added archive,Unmanned,East Michelle,Research,42.31,97.0,Reusable Rocket,Low,"Russia, Germany, Israel",206.0,68.0,Low,0.837
China,2015.0,User-friendly executive throughput,Unmanned,East Melissaland,Communication,43.68,63.0,Traditional Rocket,Low,"China, Germany, UK",312.0,42.0,Low,0.163
USA,2017.0,Configurable needs-based success,Manned,East Johnport,Navigation,12.45,91.0,Reusable Rocket,Low,"India, UAE, UK",150.0,19.0,Medium,0.022
Japan,2017.0,Pre-emptive neutral infrastructure,Unmanned,West Dustin,Navigation,24.68,64.0,Reusable Rocket,Medium,France,332.0,82.0,Medium,0.908
France,2010.0,De-engineered uniform solution,Manned,Beckerton,Weather,17.05,76.0,Nuclear Propulsion,Low,"USA, China, Israel",172.0,94.0,High,0.575
Germany,2013.0,Secured transitional alliance,Unmanned,Josephfort,Weather,13.72,89.0,AI Navigation,Low,"Germany, India",15.0,19.0,High,0.07
Japan,2015.0,Integrated solution-oriented solution,Manned,Jamesbury,Weather,10.32,80.0,Solar Propulsion,Low,"China, UK",348.0,58.0,Medium,0.58
France,2015.0,Configurable logistical orchestration,Manned,Mackland,Research,32.36,70.0,Traditional Rocket,Medium,"China, UAE",39.0,23.0,Medium,0.145
UK,2001.0,Business-focused bifurcated encryption,Unmanned,Grimesstad,Weather,39.74,51.0,Solar Propulsion,Low,"USA, Japan, India",158.0,54.0,Low,0.031
UK,2002.0,Down-sized explicit Internet solution,Unmanned,North Ian,Research,16.67,60.0,Traditional Rocket,High,"Japan, Israel, Germany",305.0,80.0,Low,0.117
UAE,2011.0,Persistent non-volatile knowledge user,Unmanned,Port Sarah,Weather,12.63,96.0,Solar Propulsion,Low,Germany,123.0,65.0,High,0.775
Germany,2000.0,Switchable zero administration matrices,Manned,West Ryanborough,Navigation,25.59,73.0,Reusable Rocket,Low,"France, India",94.0,12.0,Medium,0.756
USA,2023.0,Secured national framework,Unmanned,Morseview,Communication,24.48,71.0,AI Navigation,High,"China, France",180.0,24.0,High,0.604
USA,2023.0,Optimized dynamic structure,Unmanned,East William,Weather,34.99,82.0,Traditional Rocket,Medium,"France, China, UK",216.0,34.0,Low,0.209
Japan,2019.0,Digitized full-range pricing structure,Unmanned,Troystad,Research,6.89,61.0,Traditional Rocket,High,Germany,132.0,53.0,High,0.739
India,2012.0,Enhanced bi-directional installation,Manned,West Cynthiaberg,Spy,39.13,93.0,Solar Propulsion,High,"USA, UK, Germany",114.0,8.0,High,0.408
Russia,2003.0,Expanded dedicated attitude,Manned,Lake Randallshire,Research,26.76,97.0,AI Navigation,Medium,France,283.0,18.0,High,0.511
UK,2002.0,Enhanced regional protocol,Manned,Lake Scottshire,Research,13.47,54.0,Reusable Rocket,Medium,Israel,358.0,57.0,Low,0.898
UK,2024.0,Devolved bifurcated secured line,Unmanned,Valeriemouth,Spy,31.83,72.0,Solar Propulsion,Low,"Israel, UAE, Russia",87.0,5.0,High,0.458
Israel,2009.0,Open-architected object-oriented knowledge user,Unmanned,Lisafort,Spy,33.8,74.0,Reusable Rocket,High,France,243.0,26.0,Low,0.626
USA,2005.0,Compatible 24/7 database,Unmanned,Scottshire,Research,45.89,91.0,AI Navigation,High,"Japan, India, France",220.0,30.0,Medium,0.962
UK,2018.0,Phased optimizing matrix,Unmanned,Lake Hectorchester,Navigation,48.87,90.0,AI Navigation,Low,"Japan, India, USA",6.0,54.0,High,0.451
France,2016.0,Robust web-enabled solution,Unmanned,East April,Research,16.53,69.0,Reusable Rocket,High,"Israel, France",20.0,13.0,High,0.561
Israel,2009.0,Multi-channeled non-volatile analyzer,Manned,East Ernestton,Spy,30.17,84.0,Traditional Rocket,Medium,"USA, China",332.0,83.0,Low,0.584
USA,2004.0,Triple-buffered explicit collaboration,Unmanned,West Jaclynfort,Communication,31.82,83.0,Reusable Rocket,Medium,"China, Russia",78.0,29.0,High,0.241
India,2025.0,Advanced multimedia definition,Manned,Annafort,Communication,45.2,53.0,Traditional Rocket,Medium,"India, Japan",16.0,3.0,Low,0.737
Israel,2002.0,Distributed directional challenge,Unmanned,Port Deborah,Weather,19.37,94.0,Reusable Rocket,High,Germany,341.0,90.0,High,0.727
UAE,2002.0,User-friendly user-facing projection,Manned,West Thomas,Research,14.66,84.0,Traditional Rocket,Medium,USA,159.0,58.0,Medium,0.214
UAE,2022.0,Multi-channeled mobile budgetary management,Manned,North Stephanieton,Research,37.78,51.0,Traditional Rocket,Low,"Israel, Germany, UAE",40.0,76.0,Medium,0.013
,2025.0,Customer-focused leadingedge emulation,Manned,Scottland,Communication,6.9,98.0,Traditional Rocket,Low,"France, USA, UK",173.0,2.0,Medium,0.999
France,2017.0,De-engineered dynamic task-force,Unmanned,Carrollfurt,Spy,45.54,59.0,Traditional Rocket,High,"Russia, USA, China",184.0,75.0,High,0.582
UAE,2019.0,Compatible non-volatile middleware,Unmanned,Murraybury,Weather,41.32,94.0,Traditional Rocket,Low,Israel,345.0,28.0,High,0.181
USA,2021.0,Future-proofed static intranet,Manned,East Johnton,Weather,26.84,60.0,AI Navigation,Medium,Japan,232.0,82.0,Medium,0.284
Japan,2023.0,Focused didactic superstructure,Manned,East Stevenborough,Research,12.75,69.0,Traditional Rocket,Low,"Japan, UAE",61.0,77.0,Medium,0.618
China,2024.0,Decentralized intangible array,Unmanned,Brettport,Weather,27.25,58.0,Traditional Rocket,Medium,UAE,319.0,86.0,Low,0.138
France,2004.0,Automated uniform forecast,Manned,Johnsonfurt,Weather,49.97,83.0,AI Navigation,High,UK,7.0,76.0,Low,0.037
China,2024.0,Distributed well-modulated benchmark,Unmanned,Wilsonbury,Weather,26.97,96.0,Reusable Rocket,High,"Japan, UAE",250.0,2.0,Medium,0.798
Israel,2009.0,Centralized bandwidth-monitored matrix,Manned,South Alexis,Weather,9.95,54.0,Solar Propulsion,High,"UK, USA",275.0,7.0,Medium,0.716
UAE,2025.0,Cross-group multi-tasking frame,Manned,Hamiltonstad,Spy,6.0,60.0,Reusable Rocket,Medium,UK,168.0,26.0,High,0.31
Israel,2007.0,Pre-emptive context-sensitive utilization,Unmanned,Port Anthonyport,Research,8.78,51.0,AI Navigation,Medium,"Israel, Japan",294.0,90.0,Medium,0.058
China,2015.0,Upgradable directional firmware,Unmanned,Victoriatown,Weather,,84.0,AI Navigation,High,"USA, India, Russia",132.0,88.0,Low,0.486
Russia,2017.0,Automated transitional monitoring,Unmanned,New Philipburgh,Spy,24.21,94.0,AI Navigation,Low,France,231.0,76.0,Low,0.276
Israel,2006.0,Robust scalable initiative,Unmanned,South Kristinborough,Research,27.37,80.0,AI Navigation,High,"Japan, Israel",182.0,16.0,Low,0.398
UK,2011.0,Profit-focused eco-centric toolset,Manned,Lake Autumn,Spy,6.3,81.0,Reusable Rocket,Low,"USA, Germany",40.0,23.0,Low,0.274
UAE,2000.0,Right-sized multi-state customer loyalty,Unmanned,Port Jennifer,Spy,18.5,68.0,AI Navigation,Medium,Israel,288.0,40.0,Low,0.175
Israel,2023.0,Re-contextualized coherent hardware,Manned,West Annfurt,Weather,42.57,88.0,AI Navigation,Medium,"Japan, India, Russia",85.0,60.0,Low,0.387
France,2015.0,Configurable logistical orchestration,Manned,Mackland,Research,32.36,70.0,Traditional Rocket,Medium,"China, UAE",,73.0,Medium,0.965
China,2000.0,Reverse-engineered 24hour frame,Unmanned,South Sonya,Communication,36.89,100.0,Solar Propulsion,Low,China,66.0,32.0,,0.266
USA,2024.0,Devolved national Internet solution,Manned,Lake Madison,Communication,15.45,56.0,Solar Propulsion,High,France,27.0,15.0,Low,0.336
Russia,2009.0,Upgradable mission-critical system engine,Manned,Lyonsview,Spy,17.71,75.0,Traditional Rocket,Low,"Japan, Israel",46.0,13.0,Low,0.329
China,2005.0,Implemented directional secured line,Unmanned,Lake Christophermouth,Navigation,,76.0,Traditional Rocket,Medium,"Israel, Germany, China",199.0,5.0,Low,0.48
Japan,2001.0,Progressive 6thgeneration strategy,Unmanned,New James,Spy,25.85,77.0,Reusable Rocket,Medium,"UAE, Japan, China",200.0,75.0,Medium,
Japan,2022.0,Multi-tiered encompassing solution,Unmanned,New Michaela,Navigation,17.02,87.0,AI Navigation,Low,Israel,134.0,74.0,High,
China,2025.0,Proactive regional secured line,Unmanned,Michelleland,Communication,49.54,67.0,AI Navigation,High,"UK, Germany, Russia",312.0,52.0,High,0.806
UAE,2025.0,Cross-group multi-tasking frame,Manned,Hamiltonstad,Spy,6.0,60.0,Reusable Rocket,Medium,UK,168.0,77.0,High,0.115
Russia,2010.0,Profit-focused methodical pricing structure,Unmanned,Mosleyview,Navigation,9.17,50.0,Traditional Rocket,Medium,France,236.0,41.0,High,0.895
USA,2002.0,Ergonomic real-time productivity,Manned,West Cheyenneburgh,Navigation,22.11,83.0,Reusable Rocket,High,"UAE, India, Japan",207.0,53.0,Low,0.185
France,2020.0,Reduced asynchronous product,Manned,South Timothy,Weather,12.19,60.0,Solar Propulsion,High,"China, USA",113.0,50.0,High,0.039
Japan,2005.0,Extended directional strategy,Unmanned,Clarkchester,Navigation,42.4,66.0,Traditional Rocket,Low,"UAE, Germany",7.0,15.0,High,0.158
Germany,2013.0,Team-oriented grid-enabled paradigm,Unmanned,East Tammy,Navigation,42.09,82.0,AI Navigation,Low,"UAE, Israel",336.0,7.0,Medium,0.191
India,2007.0,Advanced mobile installation,Manned,South John,Navigation,33.15,68.0,Solar Propulsion,Low,"India, USA",327.0,40.0,Medium,0.509
USA,2018.0,Progressive system-worthy ability,Manned,Keyton,Research,18.61,82.0,Nuclear Propulsion,High,"India, China",218.0,28.0,Medium,0.45
Russia,2013.0,Cloned mobile policy,Manned,Reillyborough,Navigation,33.53,93.0,Nuclear Propulsion,Medium,China,259.0,32.0,Low,0.716
France,,Synergistic multi-state forecast,Unmanned,Castrohaven,Spy,33.88,72.0,Solar Propulsion,Medium,"China, Russia, France",242.0,99.0,Low,0.051
UK,2012.0,Automated didactic alliance,Manned,West Lauraside,Spy,32.36,52.0,Reusable Rocket,Medium,"China, India",171.0,15.0,Low,0.498
France,2016.0,Devolved multi-tasking knowledgebase,Unmanned,Brookefort,Spy,3.48,77.0,Nuclear Propulsion,High,"France, UAE, China",221.0,100.0,Medium,0.332
UAE,2008.0,Cloned object-oriented algorithm,Unmanned,Jamesburgh,Weather,4.09,79.0,Solar Propulsion,Medium,India,124.0,85.0,High,0.631
UK,2004.0,Seamless tertiary hardware,Unmanned,Gloriamouth,Navigation,7.59,71.0,Traditional Rocket,Medium,"France, Germany",353.0,70.0,Medium,0.044
Russia,2010.0,Profit-focused methodical pricing structure,Unmanned,Mosleyview,Navigation,9.17,50.0,Traditional Rocket,Medium,France,236.0,65.0,Low,0.035
Russia,2012.0,Future-proofed multimedia throughput,Manned,East Michaelborough,Weather,28.75,98.0,AI Navigation,Medium,UAE,153.0,4.0,Medium,0.427
USA,2005.0,Right-sized upward-trending open system,Manned,Alanberg,Navigation,10.38,51.0,Solar Propulsion,Medium,"France, Germany, Japan",357.0,11.0,High,0.811
UK,2016.0,User-friendly asynchronous framework,Manned,Lake Travis,Weather,8.08,52.0,AI Navigation,High,"Russia, India",350.0,26.0,Low,0.671
France,2017.0,Robust zero tolerance flexibility,Unmanned,East Trevor,Navigation,24.99,58.0,Reusable Rocket,High,"UAE, Germany",58.0,61.0,High,0.017
Japan,2008.0,Fundamental encompassing database,Unmanned,North Shannonburgh,Communication,20.89,99.0,AI Navigation,High,"Japan, Germany, China",287.0,37.0,High,0.178
Japan,2024.0,Decentralized needs-based open system,Unmanned,East Aaron,Weather,32.56,87.0,Reusable Rocket,Low,"Germany, Japan, USA",14.0,23.0,Low,0.227
Russia,2011.0,Assimilated hybrid challenge,Unmanned,Davisfurt,Weather,21.16,78.0,Reusable Rocket,Medium,"Israel, Germany, China",170.0,93.0,High,0.423
Russia,2022.0,Quality-focused local capacity,Manned,East Jackie,Weather,30.17,60.0,AI Navigation,High,USA,251.0,85.0,Medium,0.587
UAE,2024.0,Assimilated 24/7 solution,Unmanned,Taylorhaven,Weather,7.8,75.0,Traditional Rocket,High,"UK, India",278.0,91.0,High,0.216
UAE,2019.0,User-centric real-time Local Area Network,Manned,Lake John,Communication,23.95,73.0,Solar Propulsion,Medium,"UK, Germany",193.0,40.0,High,0.383
China,2009.0,Secured asymmetric array,Manned,Sarahfort,Weather,6.93,76.0,Reusable Rocket,Low,"USA, France",251.0,77.0,High,0.584
UK,2016.0,Reactive dynamic moderator,Manned,Wardside,Communication,22.72,61.0,AI Navigation,Low,"India, Israel",136.0,23.0,Medium,0.383
India,2000.0,User-friendly background core,Unmanned,Sarahmouth,Weather,22.34,97.0,Traditional Rocket,High,"Russia, India",10.0,16.0,High,0.143
France,2012.0,Networked discrete product,Manned,Jameschester,Navigation,40.85,65.0,AI Navigation,Medium,"USA, UAE, Germany",345.0,94.0,High,0.492
France,2012.0,Programmable zero tolerance hub,Manned,Jillmouth,Weather,40.6,78.0,Traditional Rocket,Low,"China, France",149.0,61.0,Medium,0.324
UK,2024.0,Vision-oriented web-enabled open architecture,Manned,East Lindsey,Communication,20.7,80.0,Nuclear Propulsion,Medium,"Israel, UAE, USA",264.0,68.0,Low,0.864
Japan,2013.0,Multi-channeled national circuit,Manned,Greeneton,Weather,21.71,50.0,Reusable Rocket,Low,Israel,104.0,80.0,Low,0.776
India,2022.0,Digitized content-based Internet solution,Unmanned,East Donna,Communication,40.22,62.0,Reusable Rocket,Medium,"Russia, India, UAE",229.0,31.0,Low,0.19
UK,2010.0,Programmable coherent toolset,Unmanned,Port Charles,Research,1.28,92.0,Traditional Rocket,Medium,Israel,,53.0,High,0.153
Japan,2012.0,Automated foreground moratorium,Unmanned,Michaelshire,Research,7.56,69.0,AI Navigation,Medium,"Japan, UAE",301.0,25.0,Low,0.348
France,2013.0,Integrated asymmetric pricing structure,Manned,South Christopher,Weather,49.14,86.0,Solar Propulsion,Medium,"Japan, Israel",228.0,44.0,Medium,0.412
China,2020.0,Optimized maximized complexity,Unmanned,West Danielville,Communication,2.53,60.0,Traditional Rocket,High,"UK, USA, Israel",88.0,12.0,High,0.932
Russia,2023.0,Reduced homogeneous concept,Unmanned,Port Ashleyberg,Navigation,47.22,92.0,AI Navigation,Medium,"Russia, UAE",294.0,90.0,High,0.302
Germany,2003.0,Grass-roots next generation process improvement,Manned,Gibsonhaven,Navigation,27.82,95.0,Solar Propulsion,Low,"Germany, China, India",320.0,97.0,High,0.868
UAE,2013.0,Assimilated impactful functionalities,Manned,Scottton,Communication,17.62,100.0,Traditional Rocket,Low,China,128.0,92.0,Low,0.505
UK,2024.0,Front-line intermediate initiative,Unmanned,Scottberg,Research,2.31,97.0,Traditional Rocket,Low,"India, France, Russia",14.0,9.0,Low,0.886
UK,2022.0,Public-key incremental model,Manned,Port Amychester,Navigation,0.97,90.0,Reusable Rocket,High,Germany,164.0,12.0,Low,0.702
Israel,2003.0,Fundamental executive time-frame,Unmanned,North Bruce,Navigation,48.5,85.0,Nuclear Propulsion,Low,"India, UAE, USA",142.0,69.0,High,0.708
USA,2024.0,Horizontal radical circuit,Unmanned,Fowlertown,Research,41.14,96.0,Reusable Rocket,Low,"France, Germany, Israel",113.0,54.0,Medium,0.519
India,2004.0,Total 5thgeneration conglomeration,Unmanned,Port Justinbury,Communication,12.64,82.0,Reusable Rocket,Medium,China,85.0,54.0,High,0.84
Russia,2025.0,Multi-layered optimizing info-mediaries,Manned,Weeksport,Communication,5.6,100.0,AI Navigation,Medium,"China, UAE, Russia",222.0,28.0,,0.254
Japan,2000.0,Ergonomic holistic website,Unmanned,West Tyler,Research,5.3,75.0,AI Navigation,Medium,"Germany, USA, China",339.0,56.0,High,0.907
Germany,2002.0,Intuitive radical monitoring,Manned,Williamsbury,Research,32.95,82.0,Reusable Rocket,High,"Germany, USA",281.0,99.0,Medium,0.637
UK,2021.0,Horizontal executive productivity,Unmanned,Moniqueberg,Navigation,49.53,73.0,AI Navigation,Low,"France, Russia, Japan",246.0,69.0,High,0.439
UK,2008.0,Centralized fresh-thinking neural-net,Unmanned,Christopherton,Weather,29.68,57.0,AI Navigation,Low,"Israel, Japan, Germany",221.0,98.0,High,0.982
Russia,2025.0,Cross-platform composite toolset,Unmanned,Anthonystad,Navigation,46.27,90.0,Nuclear Propulsion,Low,USA,293.0,98.0,Medium,0.862
China,2013.0,Front-line fresh-thinking task-force,Unmanned,East Annette,Research,24.62,92.0,Traditional Rocket,High,Israel,254.0,77.0,Medium,0.772
UK,2011.0,Profit-focused eco-centric toolset,Manned,Lake Autumn,Spy,6.3,81.0,Reusable Rocket,Low,"USA, Germany",40.0,58.0,Medium,0.274
UK,2000.0,Decentralized systemic orchestration,Manned,Lisaport,Spy,3.21,52.0,Traditional Rocket,High,Germany,223.0,78.0,Medium,0.974
UAE,2000.0,Synergized actuating contingency,Manned,East Amyview,Weather,30.58,83.0,Nuclear Propulsion,Medium,"France, India, Israel",76.0,75.0,Medium,0.743
India,2011.0,Mandatory eco-centric matrix,Manned,Stephenland,Navigation,13.67,94.0,Reusable Rocket,Medium,"India, USA, Germany",277.0,42.0,Medium,0.605
France,2014.0,Future-proofed solution-oriented paradigm,Unmanned,Carrollberg,Navigation,9.98,52.0,Nuclear Propulsion,Medium,"Germany, India",2.0,38.0,Medium,0.922
UK,2006.0,Focused value-added definition,Unmanned,Port Michelleland,Navigation,25.88,89.0,Nuclear Propulsion,Medium,"Germany, France",326.0,68.0,Medium,0.162
USA,2022.0,Exclusive grid-enabled portal,Unmanned,Jasonshire,Research,20.37,91.0,Traditional Rocket,Medium,France,322.0,53.0,High,0.139
UAE,2022.0,Customizable global customer loyalty,Unmanned,East Holly,Navigation,34.29,75.0,Traditional Rocket,Low,UAE,199.0,33.0,Medium,0.564
Russia,2008.0,Reactive executive utilization,Manned,New Amy,Spy,10.18,73.0,Nuclear Propulsion,High,Germany,7.0,71.0,Medium,0.057
Japan,2011.0,Down-sized static infrastructure,Manned,Kellershire,Research,24.68,50.0,Nuclear Propulsion,Low,"UAE, Israel, Germany",16.0,56.0,High,0.664
China,2009.0,Vision-oriented solution-oriented methodology,Unmanned,East Bridget,Navigation,13.57,82.0,AI Navigation,Low,"India, Germany",293.0,72.0,High,0.241
Russia,2021.0,Exclusive fresh-thinking model,Unmanned,Jasmineport,,39.27,64.0,Nuclear Propulsion,Medium,Germany,127.0,,Low,0.119
Israel,2002.0,Open-architected web-enabled throughput,Manned,New Kathryn,Research,29.51,64.0,Reusable Rocket,High,"India, Israel",302.0,74.0,Low,0.409
India,2005.0,Implemented content-based success,Unmanned,Barnestown,Communication,7.66,81.0,Solar Propulsion,High,"Japan, India, France",29.0,43.0,Medium,0.466
China,2023.0,Managed didactic firmware,Unmanned,South Sarah,Navigation,14.75,69.0,AI Navigation,High,Israel,304.0,15.0,Medium,0.17
Japan,2002.0,Focused bifurcated leverage,Unmanned,Grantberg,Communication,13.49,70.0,Traditional Rocket,Low,"Israel, Germany",82.0,38.0,Low,0.042
France,2013.0,Balanced multimedia challenge,Unmanned,Lake Meghan,Spy,44.01,92.0,AI Navigation,Medium,France,353.0,15.0,Low,0.414
UAE,2008.0,Public-key bandwidth-monitored service-desk,Manned,Sarahville,Weather,22.62,74.0,AI Navigation,Low,"Germany, UAE",320.0,5.0,Medium,0.76
India,2005.0,Future-proofed fault-tolerant orchestration,Manned,Carrieland,Research,11.67,78.0,Nuclear Propulsion,High,Japan,180.0,93.0,Low,0.874
China,2011.0,Synergized global instruction set,Unmanned,Petersonland,Weather,31.16,91.0,Reusable Rocket,High,UK,176.0,83.0,Medium,0.098
